Direction,EntryTime,EntryPrice,StopLoss,TakeProfit,LotSize,ExitTime,ExitPrice,Result,PnL
SELL,2026-03-23 19:30:00,3708.77,3822.42,3208.77,0.8,2026-03-27 01:30:00,3822.42,LOSS,-90.92000000000007
BUY,2026-03-28 05:00:00,3813.33,3768.5,4313.33,0.727264,2026-04-01 23:00:00,3768.5,LOSS,-32.60324511999995
BUY,2026-04-02 08:00:00,3785.15,3741.75,4285.15,0.701181403904,2026-04-02 15:00:00,3741.75,LOSS,-30.43127292943366
BUY,2026-04-03 12:00:00,3726.28,3703.49,4226.280000000001,0.676836385560453,2026-04-03 12:30:00,3703.49,LOSS,-15.425101226923006
BUY,2026-04-04 07:00:00,3783.88,3663.19,4283.88,0.6644963045789145,2026-04-05 00:00:00,3752.02,CLOSED_BY_TREND,-21.1708522638843
BUY,2026-04-06 08:00:00,3870.08,3728.69,4370.08,0.6475596227678071,2026-04-16 14:00:00,3728.69,LOSS,-91.55845506314016
SELL,2026-04-17 07:00:00,3696.25,3868.36,3196.25,0.574312858717295,2026-06-01 13:30:00,3196.25,WIN,287.1564293586475
SELL,2026-06-05 18:30:00,3333.87,3352.68,2833.87,0.804038002204213,2026-06-06 06:00:00,3352.68,LOSS,-15.123954821461203
SELL,2026-06-08 14:30:00,3168.96,3387.46,2668.96,0.7919388383470439,2026-06-14 02:30:00,3387.46,LOSS,-173.0386361788291
SELL,2026-06-15 02:00:00,3360.1,3450.09,2860.1,0.6535079294039806,2026-06-19 10:00:00,3450.09,LOSS,-58.80917856706437
BUY,2026-06-21 03:00:00,3457.66,3361.14,3957.66,0.6064605865503292,2026-06-21 14:30:00,3361.14,LOSS,-58.53557581383776
BUY,2026-06-22 02:00:00,3383.48,3318.1,3883.48,0.5596321258992589,2026-06-25 11:30:00,3318.1,LOSS,-36.588748391293606
BUY,2026-06-26 03:00:00,3288.24,3221.3,3788.24,0.530361127186224,2026-06-27 00:00:00,3247.94,CLOSED_BY_TREND,-21.37355342560468
